51.0857640,3.4775680
51.0859460,3.4772000
51.0860540,3.4767020
51.0860770,3.4765990
51.0860850,3.4765600
51.0861110,3.4764410
51.0861330,3.4763390
51.0861600,3.4762150
51.0862140,3.4759650
51.0862480,3.4758100
51.0863080,3.4755310
51.0863490,3.4753430
51.0864080,3.4750710
51.0864540,3.4748570
51.0865280,3.4745140
51.0865770,3.4742900
51.0866220,3.4740790
51.0866790,3.4738170
51.0867490,3.4734940
51.0868180,3.4731750
51.0868650,3.4729600
51.0869390,3.4726200
51.0870000,3.4723380
51.0870100,3.4722910
51.0870200,3.4722440
51.0870260,3.4722160
51.0870810,3.4719630
51.0871230,3.4717690
51.0871480,3.4716530
51.0871990,3.4714170
51.0872480,3.4711930
51.0873100,3.4709030
51.0874040,3.4704700
51.0874660,3.4701840
51.0874800,3.4701220
51.0875330,3.4698750
51.0876090,3.4695240
51.0876230,3.4694610
51.0876610,3.4692850
51.0877060,3.4690780
51.0877690,3.4687860
51.0878140,3.4685780
51.0878560,3.4683810
51.0878990,3.4681850
51.0879530,3.4679330
51.0880080,3.4676820
51.0880420,3.4675220
51.0880700,3.4673940
51.0881000,3.4672560
51.0881060,3.4672290
51.0881350,3.4670960
51.0881660,3.4669510
51.0881930,3.4668250
51.0882800,3.4664250
51.0883240,3.4662220
51.0883830,3.4659450
51.0884510,3.4656340
51.0885170,3.4653320
51.0886270,3.4648200
51.0887210,3.4643860
51.0887930,3.4640560
51.0888800,3.4636550
51.0889800,3.4631890
51.0890710,3.4627700
51.0891110,3.4625850
51.0891630,3.4623480
51.0892700,3.4618510
51.0893780,3.4613510
51.0894900,3.4608350
51.0895140,3.4607260
51.0895660,3.4604830
51.0896030,3.4603140
51.0896240,3.4602130
51.0897160,3.4597900
51.0898590,3.4591320
51.0900660,3.4581720
51.0901650,3.4577150
51.0902460,3.4573440
51.0902570,3.4572910
51.0902620,3.4572700
51.0902660,3.4572500
51.0902900,3.4571410
51.0902950,3.4571150
51.0902960,3.4571110
51.0903860,3.4566960
51.0905040,3.4561490
51.0906060,3.4556780
51.0906540,3.4554550
51.0906890,3.4552920
51.0907140,3.4551790
51.0907680,3.4549300
51.0908030,3.4547650
51.0908810,3.4544060
51.0909170,3.4542410
51.0909180,3.4542330
51.0909620,3.4540300
51.0910210,3.4537600
51.0910790,3.4534920
51.0911250,3.4532750
51.0911560,3.4531330
51.0911900,3.4529780
51.0912290,3.4527950
51.0912680,3.4526160
51.0913190,3.4523800
51.0913640,3.4521720
51.0914090,3.4519630
51.0914300,3.4518670
51.0914430,3.4518030
51.0914630,3.4517140
51.0915230,3.4514350
51.0915730,3.4512060
51.0915880,3.4511340
51.0916070,3.4510490
51.0916580,3.4508120
51.0917200,3.4505260
51.0917470,3.4503990
51.0917860,3.4502190
51.0918210,3.4500580
51.0918580,3.4498870
51.0918960,3.4497080
51.0919250,3.4495740
51.0919610,3.4494120
51.0919960,3.4492500
51.0920320,3.4490830
51.0920660,3.4489250
51.0921000,3.4487650
51.0921320,3.4486180
51.0921580,3.4485010
51.0921900,3.4483520
51.0922240,3.4481960
51.0922570,3.4480420
51.0922580,3.4478550
51.0923220,3.4477390
51.0923520,3.4476010
51.0923800,3.4474710
51.0924080,3.4473440
51.0924390,3.4472010
51.0924710,3.4470530
51.0925010,3.4469130
51.0925050,3.4468960
51.0925210,3.4468220
51.0925330,3.4467630
51.0925370,3.4467450
51.0925650,3.4466190
51.0925940,3.4464800
51.0926250,3.4463400
51.0926450,3.4462460
51.0926670,3.4461460
51.0926890,3.4460410
51.0927120,3.4459370
51.0927390,3.4458120
51.0927640,3.4456950
51.0927950,3.4455540
51.0928240,3.4454170
51.0928500,3.4452970
51.0928790,3.4451660
51.0929080,3.4450290
51.0929370,3.4448970
51.0929660,3.4447630
51.0929920,3.4446420
51.0930200,3.4445130
51.0930480,3.4443830
51.0930730,3.4442650
51.0931010,3.4441350
51.0931300,3.4440010
51.0931530,3.4438980
51.0931770,3.4437860
51.0932000,3.4436780
51.0932240,3.4435670
51.0932490,3.4434510
51.0932700,3.4433530
51.0932940,3.4432430
51.0933180,3.4431340
51.0933410,3.4430260
51.0933650,3.4429140
51.0933920,3.4427920
51.0934330,3.4425990
51.0934750,3.4424070
51.0935020,3.4422800
51.0935450,3.4420840
51.0935870,3.4418870
51.0936130,3.4417670
51.0936510,3.4415910
51.0936760,3.4414770
51.0937000,3.4413650
51.0937430,3.4411670
51.0937780,3.4410050
51.0938070,3.4408700
51.0938360,3.4407360
51.0938620,3.4406170
51.0938890,3.4404910
51.0939300,3.4403000
51.0939680,3.4401250
51.0940050,3.4399520
51.0940480,3.4397540
51.0940820,3.4395970
51.0940880,3.4395700
51.0940980,3.4395240
51.0941010,3.4395080
51.0941160,3.4394390
51.0941320,3.4393680
51.0941480,3.4392910
51.0941510,3.4392780
51.0941780,3.4391520
51.0941860,3.4391160
51.0941890,3.4391050
51.0941980,3.4390610
51.0942050,3.4390300
51.0942290,3.4389180
51.0942540,3.4388040
51.0942930,3.4386220
51.0943330,3.4384370
51.0943720,3.4382570
51.0944160,3.4380540
51.0944550,3.4378720
51.0944980,3.4376740
51.0945390,3.4374850
51.0945740,3.4373240
51.0946070,3.4371700
51.0946310,3.4370600
51.0946600,3.4369240
51.0946850,3.4368070
51.0947290,3.4366040
51.0947670,3.4364290
51.0948040,3.4362550
51.0948390,3.4360930
51.0948700,3.4359520
51.0949000,3.4358120
51.0949130,3.4357500
51.0949360,3.4356480
51.0949500,3.4355790
51.0949680,3.4354980
51.0950010,3.4353450
